Sequence ID,Wormbase ID,Category 1,Category 2,Category 3,Description
F54D8.2,WBGene00006519,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex IV,"cox-6A is an ortholog of human COX6A2 (cytochrome c oxidase subunit 6A2) and COX6A1 (cytochrome c oxidase subunit 6A1); cox-6A is predicted to have cytochrome-c oxidase activity, based on protein domain information; cox-6A is expressed in the pharynx, hypodermis, intestine, and the body wall musculature; cox-6A is localized to the mitochondrion."
F54D8.3,WBGene00000107,Metabolism,Metabolism: lipid,Metabolism: lipid: other,"alh-1 is orthologous to the human gene ALDEHYDE DEHYDROGENASE 2, MITOCHONDRIAL (ALDH2; OMIM:100650), in which a polymorphism can lead to acute ethanol intolerance."
F54D8.4,WBGene00000279,Metabolism,Metabolism: carbonic anhydrase,Metabolism: carbonic anhydrase,cah-1 encodes a member of the carbonic anhydrase family.
T10F2.1,WBGene00001744,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,grs-1 encodes a member of the glycyl-tRNA synthetase family that affects embryonic viability and spindle maintenance during anaphase.
K10D2.6,WBGene00001262,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"emb-8 encodes the C. elegans NADPH-cytochrome P450 reductase ortholog; by homology, EMB-8 is predicted to function in the enzymatic reduction of the cytochrome P450 monooxygenase enzymes that play a role in fatty acid modification; during embryonic development, emb-8 activity is essential for normal interactions between the pronucleus/centrosome complex and the posterior cortex and thus, for proper anterior-posterior (A/P) polarity and localization of GLP-1, PAR-3, PAR-2, and P granules; emb-8 is also required for formation of the secreted eggshell; genetic studies indicate that, in regulating A/P polarity, emb-8 appears to function in the same pathway as pod-1 and pod-2."
K10D2.7,WBGene00019633,Metabolism,Metabolism: molybdenum cofactor,Metabolism: molybdenum cofactor,"RNA sequencing and microarray studies indicate that K10D2.7 is affected by cox-5B, mir-34, slr-2, and daf-2; microarray studies indicate that K10D2.7 is affected by Humic substances; RNA sequencing and proteomic studies indicate that K10D2.7 is enriched in the germ line and hypodermis."
ZC155.4,WBGene00022532,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"ZC155.4 is an ortholog of human GDE1 (glycerophosphodiester phosphodiesterase 1); ZC155.4 is predicted to have phosphoric diester hydrolase activity, based on protein domain information."
C34E10.4,WBGene00006946,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,"This is a complicated gene locus that produces two distinct gene products, prx-10 and wars-2/wrs-2; transcription of this locus produces a large primary transcript containing the coding potential for functionally different proteins; the transcript can be processed (by an unknown mechanism) to allow for the translation of either the 5' (PRX-10) gene product or the 3' (WARS-2) gene product; prx-10 encodes a PeRoXisome assembly factor whereas wars-2/wrs-2 encodes a tryptophanyl (W) tRNA synthetase."
C34E10.5,WBGene00016408,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"prmt-5 is an ortholog of human PRMT5 (protein arginine methyltransferase 5); prmt-5 is involved in histone arginine methylation, intrinsic apoptotic signaling pathway in response to DNA damage, locomotory behavior, negative regulation of DNA damage response, signal transduction by p53 class mediator, negative regulation of transcription, DNA-templated and response to odorant; prmt-5 exhibits activating transcription factor binding activity, histone methyltransferase activity (H4-R3 specific), and p53 binding activity; prmt-5 is localized to the nucleus."
C34E10.6,WBGene00000229,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex V,"atp-2 encodes the beta subunit of the soluble, catalytic F1 portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V); atp-2 activity is required for embryonic and larval development past the L3 stage, as well as for normal mobility, pharyngeal pumping, defecation, growth rate, and larval lifespan; in males, atp-2 activity is also required cell autonomously in male-specific sensory neurons for response to hermaphrodite contact, the first step in a series of stereotypical male mating behaviors; in vitro, the N-terminus of ATP-2 interacts directly with the conserved PLAT domains of human polycystin (PC)-1 and C. elegans LOV-1, which is expressed exclusively in adult male sensory neurons and is also required for the response to hermaphrodite contact; atp-2 is widely expressed throughout development in both sexes; ATP-2 localizes to mitochondria and to cilia of male-specific neurons; in the male-specific CEM neurons ATP-2 colocalizes with PKD-2, the C. elegans homolog of human polycystin (PC)-2."
ZC395.2,WBGene00000536,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: ubiquinone ,"clk-1 encodes the C. elegans ortholog of COQ7/CAT5, a highly conserved demethoxyubiquinone (DMQ) hydroxylase that is necessary for the biosynthesis of ubiquinone (coenzyme Q, Q9) from 5-demethoxyubiquinone (DMQ9); in C. elegans, CLK-1 activity is required for normal physiological rates of growth, development, behavior, and aging, as well as for normal brood sizes."
ZC395.6,WBGene00001740,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,"gro-1 encodes two isoforms of the C. elegans isopentenylpyroptiosphate:tRNA transferase (IPT) ortholog; by homology, GRO-1 is predicted to function in modification of a subset of tRNAs; in C. elegans, a loss-of-function mutation in gro-1 results in delayed embryogenesis and postembryonic development, slower rates of adult behaviors, reduced brood size, and a genetic background-specific increase in adult life span; gro-1's effect on embryonic development exhibits a strict maternal effect; GRO-1::GFP fusion proteins are widely expressed and localize to the cytoplasm, nucleus, and mitochondria."
ZC395.10,WBGene00022599,Metabolism,Metabolism: lipid,Metabolism: lipid: other,"daf-41 is an ortholog of human PTGES3 (prostaglandin E synthase 3); daf-41 is expressed in the pharynx, anal depressor muscle, nervous system, reproductive system, seam cell, intestine, and the body wall musculature; daf-41 is localized to the myofibril."
F52C9.3,WBGene00018674,Metabolism,Metabolism: lipid,Metabolism: lipid: glycerolipid ,"F52C9.3 is an ortholog of human AGK (acylglycerol kinase); F52C9.3 is predicted to have kinase activity, based on protein domain information."
F48E8.3,WBGene00018610,Metabolism,Metabolism: other,Metabolism: other,"F48E8.3 encodes a fumarate reductase; by homology, the product of F48E8.3 is predicted to catalyze the irreversible conversion of fumarate to succinate."
D1044.1,WBGene00017027,Unknown,Unknown: Stress response: regulated by multiple stresses,Unknown: Stress response: regulated by multiple stresses,"RNA sequencing and microarray studies indicate that D1044.1 is affected by Bisphenol A, Bisphenol S, Atrazine, Cadmium, Hydrolyzable Tannins, Humic substances, and R24; tiling array, microarray, RNA sequencing, and proteomic studies indicate that D1044.1 is enriched in the excretory cell, hypodermis, Z4, Z1, and intestine and in the dopaminergic and FLP neurons."
F09F7.3,WBGene00017300,Transcription: general machinery,Transcription: general machinery: RNA Pol III,Transcription: general machinery: RNA Pol III,"rpc-2 is an ortholog of human POLR3B (RNA polymerase III subunit B); rpc-2 is predicted to have DNA binding activity, DNA-directed 5'-3' RNA polymerase activity, and ribonucleoside binding activity, based on protein domain information."
F09F7.4,WBGene00017301,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"hach-1 is an ortholog of human HIBCH (3-hydroxyisobutyryl-CoA hydrolase); hach-1 is predicted to have 3-hydroxyisobutyryl-CoA hydrolase activity, based on protein domain information."
C05D2.3,WBGene00015467,Metabolism,Metabolism: amino acid,Metabolism: amino acid: other,"C05D2.3 generally resembles aromatic-L-amino-acid/L-histidine decarboxylases; however, its predicted protein sequence lacks six residues critical for AADC function."
C05D2.4,WBGene00000239,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"bas-1 encodes a serotonin- and dopamine-synthetic aromatic amino acid decarboxylase (AAADC) that is required for the synthesis of serotonin from 5-hydroxytryptophan in vivo; mutations of bas-1 impair the turning step in male mating, the migration of AVM, SDQR, ALM, and BDU neurons during development."
W03A3.2,WBGene00020964,DNA,DNA: repair,DNA: repair,"polq-1 encodes a protein, containing an amino-terminal DEAD/DEAH box helicase domain and a carboxy-terminal DNA polymerase I-like domain, that is most closely related to vertebrate DNA polymerase theta (POLQ) and Drosophila Mus308; in C. elegans, polq-1 functions in a novel and brc-1-dependent pathway to repair DNA interstrand cross-links (ICLs) and thus confer resistance to DNA-damaging agents; polq-1 also functions in single-nucleotide base excision repair."
F01F1.6,WBGene00000115,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"alh-9 is an ortholog of human ALDH7A1 (aldehyde dehydrogenase 7 family member A1); alh-9 is predicted to have oxidoreductase activity, based on protein domain information; alh-9 is expressed in the seam cell and the ABa."
F01F1.12,WBGene00017166,Metabolism,Metabolism: glycolysis,Metabolism: glycolysis,"aldo-2 encodes a fructose-bisphosphate aldolase homologous to human ALDOB, which when mutated leads to fructosemia, hereditary fructose intolerance (OMIM:229600)."
C28H8.11,WBGene00016201,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"tdo-2 is an ortholog of human TDO2 (tryptophan 2,3-dioxygenase); tdo-2 is predicted to have tryptophan 2,3-dioxygenase activity, based on protein domain information; tdo-2 is expressed in the hypodermis and the body wall musculature."
F25B5.3,WBGene00017775,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"F25B5.3 is orthologous to the human gene NUCLEOTIDASE, 5-PRIME, CYTOSOLIC III (NT5C3; OMIM:606224), which when mutated leads to hemolytic anemia due to UMPH1 deficiency"
F25B5.6,WBGene00017777,Metabolism,Metabolism: 1CC,Metabolism: 1CC: folate,"F25B5.6 is an ortholog of human FPGS (folylpolyglutamate synthase); F25B5.6 is predicted to have ATP binding activity and tetrahydrofolylpolyglutamate synthase activity, based on protein domain information; F25B5.6 is expressed in the pharynx, hypodermis, nervous system, and the intestine."
T17E9.2,WBGene00020549,Protein modification,Protein modification: lipidation,Protein modification: lipidation,"nmt-1 encodes an N-myristoyl transferase; by homology, NMT-1 is predicted to catalyze the cotranslational attachment of myristate from CoA to the N-terminal glycine residue of proteins; in C. elegans, nmt-1 is widely expressed and required for a number of diverse processes, including development, locomotion, and apoptosis. "
T12A2.1,WBGene00020436,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"T12A2.1 is an ortholog of human AMDHD1 (amidohydrolase domain containing 1); T12A2.1 is predicted to have hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides, based on protein domain information."
T12A2.2,WBGene00020437,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"stt-3 is an ortholog of human STT3B (STT3B, catalytic subunit of the oligosaccharyltransferase complex); stt-3 is predicted to have oligosaccharyl transferase activity, based on protein domain information."
C56G2.6,WBGene00002891,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,"let-767 encodes a steroid dehydrogenase required for embryogenesis,  molting, and female reproduction; LET-767 is orthologous to human  HSD17B3 (OMIM:605573, mutated in pseudohermaphroditism), HSD17B12  (OMIM:609574), and HSDL1; in vitro, LET-767 catalytically converts  androstenedione and estrone into testosterone and estradiol, and in vivo  probably catalyzes the synthesis of endogeneous steroid hormones from  cholesterol; LET-767 is expressed from embryos to adults, and is  zygotically expressed in the intestine, but a maternal-effect lethal  allele (let-767[s2464]) also exists, indicating that LET-767 is probably  also provided maternally; LET-767 is paralogous to STDH-1/-4; some  let-767 transcripts are spliced to SL2, indicating that let-767 may  belong to an operon with C56G2.7."
C16A3.5,WBGene00015810,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,"C16A3.5 is an ortholog of human NDUFB9 (NADH:ubiquinone oxidoreductase subunit B9); microarray, proteomic, and RNA sequencing studies indicate that C16A3.5 is affected by cyc-1, gld-1, let-7, daf-16, jmjd-1.2, mir-34, and sir-2.1; microarray and RNA sequencing studies indicate that C16A3.5 is affected by Biotin, Rotenone, D-glucose, Chlorpyrifos, Sirolimus, and Allantoin; proteomic, tiling array, RNA sequencing, and microarray studies indicate that C16A3.5 is enriched in the germ line, hypodermis, and intestine and in neurons including the NSM neurons."
C16A3.10,WBGene00015814,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,C16A3.10 encodes an ornithine transaminase orthologous to the human gene OAT (ornithine aminotransferase); the product of C16A3.10 is predicted to catalyze the conversion of ornithine to L-glutamate-5-semialdehyde in the process of arginine-to-proline conversion.
C05D11.5,WBGene00015483,Metabolism,Metabolism: other,Metabolism: other,"C05D11.5 is an ortholog of human HYI (hydroxypyruvate isomerase (putative)); C05D11.5 is expressed in the hypodermis, reproductive system, intestine, and the body wall musculature."
C05D11.7,WBGene00015484,Metabolism,Metabolism: lipid,Metabolism: lipid: lipase,"atgl-1 is an ortholog of human PNPLA3 (patatin like phospholipase domain containing 3), PNPLA5 (patatin like phospholipase domain containing 5) and PNPLA2 (patatin like phospholipase domain containing 2); atgl-1 is predicted to have hydrolase activity, based on protein domain information; atgl-1 is expressed in the pharynx, mu_int_R, mu_int_L, anal depressor muscle, hypodermis, nervous system, reproductive system, and the body wall musculature; atgl-1 is localized to the lipid droplet."
C05D11.11,WBGene00003214,Metabolism,Metabolism: 1CC,Metabolism: 1CC: folate,"mel-32 encodes a serine hydroxymethyltransferase; by homology, MEL-32 is predicted to catalyze the biochemical reaction that converts serine to glycine and in the process transfers a methyl group to tetrahydrofolate and, thus, into the one-carbon pool used for a variety of cellular metabolic processes; in C. elegans MEL-32 activity is required maternally for embryonic development past the 100-cell stage."
C05D11.12,WBGene00002855,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"The let-721 gene encodes an ortholog of the human gene SIMILAR TO ELECTRON-TRANSFERRING-FLAVOPROTEIN DEHYDROGENASE (ETFDH), which when mutated leads to glutaricaciduria type IIC (OMIM:231675)."
T26A5.3,WBGene00006463,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,"T26A5.3 encodes a predicted mitochondrial protein whose mature sequence has near-identity (95%) to GAS-1; T26A5.3 transcription is detectable by RT-PCR, but not visible by promoter-GFP fusion; however, a transgene containing a fusion of the gas-1 promoter to the T26A5.3 protein-coding sequence is able to fully rescue gas-1 mutants, indicating that T26A5.3 encodes a fully functional mitochondrial 49 kDa subunit that may rescue gas-1(fc21) mutants from lethality; mutants homozygous for a T26A5.3 deletion have normal anesthetic sensitivity and normal sensitivity to oxygen (unlike gas-1 mutants) but a shortened lifespan at normal laboratory oxygen levels (20%); animals doubly mutant for gas-1 and T26A5.3 have maternal-effect lethality, but sterile surviving parents are abnormally long-lived (2.7 times longer than wild-type and 4.2 times longer than gas-1 mutants); double mutants remain hypersensitive to oxygen."
T26A5.4,WBGene00020820,Cuticle,Cuticle: other,Cuticle: other,"algn-1 is an ortholog of human ALG1L2 (ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like 2), ALG1 (ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase) and ALG1L (ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like); algn-1 is predicted to have transferase activity, transferring glycosyl groups, based on protein domain information."
T26A5.5,WBGene00020821,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: demethylase,"jhdm-1 is an ortholog of human KDM2B (lysine demethylase 2B) and KDM2A (lysine demethylase 2A); jhdm-1 is expressed in the nervous system, reproductive system, and the intestine."
T26A5.7,WBGene00004781,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,set-1 encodes a SET domain-containing protein predicted to function as a histone lysine N-methyltransferase; set-1 is an essential gene that is ubiquitously expressed early in development.
T26A5.8,WBGene00020823,DNA,DNA: replication,DNA: replication,"T26A5.8 is an ortholog of human POLE3 (DNA polymerase epsilon 3, accessory subunit); T26A5.8 is predicted to have protein heterodimerization activity, based on protein domain information; T26A5.8 is expressed in the reproductive system, intestine, body wall musculature, ventral nerve cord, head neurons, and the tail neurons."
F20H11.3,WBGene00003162,Metabolism,Metabolism: glycolysis,Metabolism: glycolysis,mdh-2 encodes a homolog of malate dehydrogenase that is predicted to be mitochondrial.
F20H11.5,WBGene00017648,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"ddo-3 encodes a putative secreted D-aspartate oxidase (DASPO), paralogous to DDO-1 and DDO-2; recombinant DDO-3 protein is insoluble when expressed in E. coli, and thus has not yet been tested in vitro for activity; ddo-3 is expressed in a head mesodermal cell, hypodermis, other head cells, and vulva."
C13B9.2,WBGene00015733,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"C13B9.2 is an ortholog of human GLYCTK (glycerate kinase); RNA sequencing and microarray studies indicate that C13B9.2 is affected by tatn-1, npr-1, pgl-1, pgl-3, glh-4, glh-1, emb-4, sir-2.1, and mir-243; microarray studies indicate that C13B9.2 is affected by adsorbable organic bromine compounds and Sirolimus; RNA sequencing studies indicate that C13B9.2 is enriched in the germ line and intestine."
K04C2.2,WBGene00019380,Transcription factor,Transcription factor: MYB,Transcription factor: MYB,"K04C2.2 is an ortholog of human MYBBP1A (MYB binding protein 1a); K04C2.2 is predicted to have DNA binding activity and DNA-directed DNA polymerase activity, based on protein domain information."
F57B9.1,WBGene00018996,Metabolism,Metabolism: B6,Metabolism: B6,"F57B9.1 is an ortholog of human PNPO (pyridoxamine 5'-phosphate oxidase); F57B9.1 is predicted to have FMN binding activity and pyridoxamine-phosphate oxidase activity, based on protein domain information."
R01H2.5,WBGene00019813,Stress response,Stress response: pathogen,Stress response: pathogen: other,"ger-1 encodes the C. elegans ortholog of GDP-keto-6-deoxymannose 3,5-epimerase/4-reductase; GER-1 is involved in the synthesis of GDP-fucose and exhibits enzymatic activity in vitro; ger-1 is expressed in larvae and adults."
B0280.3,WBGene00015101,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"rpia-1 is an ortholog of human RPIA (ribose 5-phosphate isomerase A); rpia-1 is predicted to have ribose-5-phosphate isomerase activity, based on protein domain information; rpia-1 is expressed in the pharynx, intestine, nerve ring, head neurons, and the tail neurons."
K04G7.3,WBGene00003858,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ogt-1 encodes an ortholog of O-linked N-acetylglucosamine (O-GlcNAc) transferase (OGT; OMIM:300255) with 12 N-terminal tetratricopeptide (TPR) domains (generally thought to enable protein-protein interactions) and a C-terminal putative catalytic domain; although loss of ogt-1 activity has no effect on overall viability or fertility, ogt-1 mutations result in alterations in macronutrient storage and can suppress constitutive dauer formation in daf-2 mutants suggesting that, in C. elegans, ogt-1 may play a regulatory role in nutrient sensing and insulin-like signaling pathways; OGT-1 is expressed in embryos, where it exhibits nuclear and punctate perinuclear localization."
K04G7.4,WBGene00019401,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,"nuo-4 is an ortholog of human NDUFA10 (NADH:ubiquinone oxidoreductase subunit A10); RNA sequencing, tiling array, and microarray studies indicate that nuo-4 is affected by aak-2, daf-12, rsr-2, emr-1, hsf-1, ifg-1, mir-34, and nuo-6; proteomic and microarray studies indicate that nuo-4 is affected by 25-azacoprostane, Estrogen, Atrazine, Chlorpyrifos, and Diazinon; tiling array and RNA sequencing studies indicate that nuo-4 is enriched in the PVD, OLL, NSM, and PLM neurons."
F37C12.3,WBGene00018151,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,"F37C12.3 is an ortholog of human NDUFAB1 (NADH:ubiquinone oxidoreductase subunit AB1); microarray, RNA sequencing, and proteomic studies indicate that F37C12.3 is affected by cid-1, lin-15B, prp-8, gld-1, let-7, csr-1, hsf-1, pgl-1, pgl-3, glh-4, glh-1, sir-2.1, and nuo-6; microarray and RNA sequencing studies indicate that F37C12.3 is affected by Biotin, Linolenic Acids, and Cry5B; proteomic, RNA sequencing, and microarray studies indicate that F37C12.3 is enriched in the germ line and intestine and in the NSM and AFD neurons."
F37C12.7,WBGene00018152,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"acs-4 is an ortholog of human ACSL3 (acyl-CoA synthetase long-chain family member 3) and ACSL4 (acyl-CoA synthetase long-chain family member 4); acs-4 is predicted to have catalytic activity, based on protein domain information; acs-4 is expressed in the pharynx, hypodermis, intestine, ventral nerve cord, and the dorsal nerve cord; acs-4 is localized to the lipid droplet."
R151.5,WBGene00006592,Cuticle,Cuticle: other,Cuticle: other,"dpy-31 encodes an astacin zinc-metalloprotease of the BMP-1 (bone morphogenetic protein-1)/TOLLOID family; dpy-31 activity is required for proper cuticle formation and thus for normal body morphology; in addition, dpy-31 is essential for embryonic and larval development at 25 degrees C; genetic and immunofluorescence studies suggest that DPY-31 functions as an endopeptidase that is required for processing, and ultimately proper extracellular assembly, of the SQT-3 cuticle collagen; dpy-31 is expressed in most hypodermal cells, with the exception of larval stage seam cells, throughout the life cycle with particularly strong expression seen during embryonic and larval stages; dpy-31 is also expressed in some head neurons, the amphid socket cells, rectal epithelial cells, and vulval epithelial cells in L4 larvae and adults."
T20H4.3,WBGene00004189,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,"prs-1 encodes a predicted cytoplasmic prolyl-tRNA synthetase (ProRS), a class II aminoacyl-tRNA synthetase that catalyzes the attachment of proline to its cognate tRNA and is thus required for protein biosynthesis; PRS-1 is required for embryonic, germline, and postembryonic development."
T20H4.5,WBGene00020636,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,T20H4.5 gene encodes a 23 kDa subunit of mitochondrial complex I that is required for oxidative phosphorylation and for resistance to volatile anesthetics; T20H4.5 is orthologous to human NADH-Ubiquinone oxidoreductase Fe-S protein 8 (NDUFS8); RNA interference screens indicate that it may be involved in longevity.
B0361.5,WBGene00015159,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"psd-1 is an ortholog of human PISD (phosphatidylserine decarboxylase); psd-1 is predicted to have phosphatidylserine decarboxylase activity, based on protein domain information."
B0361.7,WBGene00015161,Lysosome,Lysosome: acid phospatase,Lysosome: acid phospatase,"pho-5 is an ortholog of human ACPT (acid phosphatase, testicular), ACP2 (acid phosphatase 2, lysosomal) and ACPP (acid phosphatase, prostate); microarray and RNA sequencing studies indicate that pho-5 is affected by alg-1, mir-34, emb-4, sir-2.1, fbf-1, rnp-8, isp-1, nuo-6, and lin-35; microarray studies indicate that pho-5 is affected by Quercetin, Paraquat, and Sirolimus; RNA sequencing and microarray studies indicate that pho-5 is enriched in the germ line and in neurons including the AFD neurons."
B0361.8,WBGene00015162,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"algn-11 is an ortholog of human ALG11 (ALG11, alpha-1,2-mannosyltransferase); tiling array, RNA sequencing, and microarray studies indicate that algn-11 is affected by daf-12, tatn-1, jmjd-1.2, hsf-1, mir-34, cebp-1, emb-4, and fbf-1; microarray studies indicate that algn-11 is affected by Atrazine, Chlorpyrifos, Diazinon, Humic substances, and single-walled carbon nanotubes; RNA sequencing and microarray studies indicate that algn-11 is enriched in the germ line and intestine."
F08F8.2,WBGene00017268,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,"hmgr-1 is an ortholog of human Hmgcr (3-hydroxy-3-methylglutaryl-CoA reductase); hmgr-1 is predicted to have NADP binding activity and hydroxymethylglutaryl-CoA reductase (NADPH) activity, based on protein domain information; hmgr-1 is expressed in the pm3, anal depressor muscle, pm8, spermatheca, intestine, excretory cell, vulval muscle, gonadal sheath cell, and the ventral nerve cord."
H14A12.2,WBGene00001503,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"fum-1 is orthologous to human FUMARASE (FH; OMIM:136850), which when mutated leads to fumarase deficiency; FUM-1A and FUM-1B are predicted to be mitochondrial."
ZK783.2,WBGene00022817,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"upp-1 encodes the C. elegans uridine phosphorylase ortholog; loss of upp-1 activity results in resistance to the anticancer pyrimidine analog 5-fluorouracil (5-FU); in vitro, UPP-1 exhibits both uridine and thymidine phosphorylase activity."
ZK652.9,WBGene00000765,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: ubiquinone ,"coq-5 encodes a putative 2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, homologous to COQ5 in S. cerevisiae and to a family of methyltransferases involved in ubiquinone, menaquinone, biotin and sterol biosynthesis and in phosphatidylethanolamine methylation; COQ-5 is required for ubiquinone (coenzyme Q9) biosynthesis and for normally short lifespan; coq-5 can transgenically rescue a coq-5 deletion in S. cerevisiae; coq-5(RNAi) animals have reduced levels of coenzyme Q9 and superoxide, and have abnormally long lifespans."
C02C2.1,WBGene00015332,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,C02C2.1 encodes a tyrosinase homolog with a glutamine/asparagine-rich domain.
C02C2.5,WBGene00015334,Metabolism,Metabolism: other,Metabolism: other,"sup-18 is an ortholog of human IYD (iodotyrosine deiodinase); sup-18 is predicted to have oxidoreductase activity, based on protein domain information; sup-18 is expressed in the anal depressor muscle, body wall musculature, vulval muscle, and the head neurons."
ZK688.8,WBGene00001628,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,gly-3 encodes an N-acetylgalactosaminyltransferase that is functional in vitro.
C29E4.7,WBGene00016204,Stress response,Stress response: other,Stress response: other,"gsto-1 encodes an experimentally verified thiol oxidoreductase and  dehydroascorbate reductase, required for normal stress resistance;  formally, GSTO-1 is an omega-class glutathione transferase (GST; EC  2.5.1.18), but it has little activity in vitro on classic GST  substrates; GSTO-1 is expressed in postembryonic intestine; gsto-1(RNAi)  induces hypersensitivity to heat-, arsenite-, juglone-, paraquat-, or  cumene hydroperoxide-induced stresses, whereas overexpression of GSTO-1  enhances resistance to them; gsto-1 transcription is upregulated by  stress; ELT-2 may directly activate gsto-1 transcription in developing  gut via a 300-nucleotide sequence upstream of gsto-1's ATG start site."
C29E4.8,WBGene00002879,Metabolism,Metabolism: other,Metabolism: other,let-754 encodes an adenylate kinase; let-754 was identified in screens for ethyl methane sulfonate-induced lethal mutations on chromosome III; the let-754 mutation results in mid larval lethality.
F54H12.1,WBGene00000041,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"aco-2 encodes an aconitase homolog that is required for embryonic viability, fertility, locomotion, and vulval morphogenesis, and perhaps for normal lifespan."
K12H4.5,WBGene00019680,Unknown,Unknown,Unknown,"K12H4.5 is expressed in the pharynx, intestine, and the body wall musculature."
C14B9.2,WBGene00015752,Stress response,Stress response: ER,Stress response: ER,"C14B9.2 encodes a protein disulfide isomerase; by homology, the product of C14B9.2 is predicted to function in oxidative protein folding in the endoplasmic reticulum (ER); C14B9.2 transcript levels are increased in response to ER stress."
F09G8.4,WBGene00003562,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"ncr-2 encodes a homolog of human NPC1, which when mutated leads to Niemann-Pick disease, type C (OMIM:257220)."
ZC262.5,WBGene00022582,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"ZC262.5 is predicted to have proton-transporting ATP synthase activity, rotational mechanism, based on protein domain information; ZC262.5 is localized to the mitochondrion."
R05D3.6,WBGene00019880,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex V,"R05D3.6 encodes the epsilon subunit of the soluble, catalytic F1 portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V); RNAi experiments indicate that loss of R05D3.6 activity has minor effects on growth rate."
R05D3.11,WBGene00019883,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: methyltransferase,"met-2 encodes a histone methyltransferase similar to human SETDB1; during development, met-2 acts as a class B synMuv gene: loss of met-2 activity in the background of a class A or class C synMuv mutant, such as lin-15A or trr-1, respectively, results in a multivulval phenotype, indicating that met-2 acts to negatively regulate vulval cell fate specification; as met-2 is required for normal levels of histone H3K36 and H3K9 trimethylation and met-2;lin-15A animals show an increase in lin-3 EGF expression, met-2 likely acts as part of a transcriptional repressor complex that negatively regulates lin-3 EGF transcription to restrict vulval development to three of the six cells in the vulval equivalence group; in addition, genetic studies indicate that met-2 likely acts redundantly with met-1 to inhibit vulval cell fates."
